Taxi Group Name,Taxi Division Rank,Driver Full Name,Vehicle Brand,Experience Group,Special Awards,Endurance Score,Profitability Score,Safety Score,Efficiency Score,#of1Star Ratings,#of2Star Ratings,#of3Star Ratings,#of4Star Ratings,#of5Star Ratings
"Walsh, Hammond and Craig",0,Bruce Marshall,7,6,False,0.666398,-0.252875,0.279009,1.89221,9,38,40,20,22
"Walsh, Hammond and Craig",1,Carol Holmes,9,4,False,-1.17785,-1.56046,-1.21152,-0.510155,8,16,28,43,39
"Walsh, Hammond and Craig",1,Jay Bailey,16,6,False,-0.557925,0.0833,0.596134,0.257793,5,12,25,39,26
"Walsh, Hammond and Craig",1,Aimee Smith,3,4,False,-0.787186,-0.484124,0.966867,0.54889,8,8,16,52,34
"Walsh, Hammond and Craig",1,Hayley Hall,14,1,False,0.518161,-0.108167,-0.0250766,-0.133834,22,32,53,16,13
"Walsh, Hammond and Craig",1,Kerry Howard,8,6,False,0.131069,0.406218,1.49431,0.0232333,3,7,10,54,48
"Walsh, Hammond and Craig",1,Max Harris,6,3,False,0.510684,1.3234,-0.183761,0.453363,18,22,48,31,23
"Walsh, Hammond and Craig",1,Melissa Lees,4,2,False,-0.599354,-1.13482,0.372642,-1.0565,18,41,62,-2,3
"Walsh, Hammond and Craig",1,Kathleen Wright,17,1,False,-0.95185,-0.952256,-0.29393,-0.773234,5,8,11,59,54
"Walsh, Hammond and Craig",1,Molly Nolan,16,6,False,-0.471395,0.866708,2.36356,-1.18976,15,29,35,14,19
"Walsh, Hammond and Craig",1,Iain Robinson,6,5,False,1.47939,-1.49279,0.952166,-0.432641,7,8,13,53,54
"Walsh, Hammond and Craig",1,Francesca Marshall,8,6,False,-1.09498,-0.234673,-0.770986,-0.957325,13,22,18,34,35
"Walsh, Hammond and Craig",1,Danielle Conway,12,1,False,-0.172301,-0.668474,-0.0301087,-0.976427,11,22,27,35,32
"Walsh, Hammond and Craig",1,Samantha Ford,16,3,False,-0.810578,0.141725,0.403568,-0.713073,14,21,39,30,32
"Walsh, Hammond and Craig",1,Jayne Owens,12,1,False,1.31653,0.486728,0.196453,0.66096,17,34,30,27,20
"Walsh, Hammond and Craig",1,Jack Brown,2,5,True,2.09664,1.50523,0.595271,0.891568,4,4,9,57,53
"Walsh, Hammond and Craig",2,Nigel Miller,12,2,False,0.760072,1.58457,-0.059443,-0.48774,18,22,45,13,7
"Walsh, Hammond and Craig",2,Toby Hurst,14,1,True,1.38697,0.971108,0.457073,2.10658,8,16,24,44,42
"Walsh, Hammond and Craig",2,Gordon Schofield,12,3,False,0.599151,-0.341394,-0.953207,-0.795317,20,47,48,10,7
"Walsh, Hammond and Craig",2,Anthony Taylor,17,2,False,0.988216,0.131879,0.451113,-1.04883,22,44,58,3,4
"Walsh, Hammond and Craig",2,Joyce Brown,6,6,False,0.310959,-0.012148,-0.0221489,2.01713,11,11,13,40,47
"Walsh, Hammond and Craig",2,Joanne Stanley,3,2,False,-1.94876,-1.29403,-1.92103,-0.356305,13,18,30,33,32
"Walsh, Hammond and Craig",2,Sophie Lewis,14,3,True,-0.844755,3.17932,-1.75984,2.83618,-3,4,3,44,55
"Walsh, Hammond and Craig",3,Philip Moore,11,3,False,0.426194,0.0147585,0.118939,0.377366,13,26,47,18,24
"Walsh, Hammond and Craig",3,Sian Murray,13,4,False,-1.06085,-0.913218,0.470886,-0.108217,13,30,38,13,19
"Walsh, Hammond and Craig",3,Katy Hall,15,4,False,-0.136477,1.40604,-0.990082,-0.41117,9,8,21,44,49
"Walsh, Hammond and Craig",3,Melissa Hayward,4,6,False,-1.07759,-1.29405,-1.16426,-0.839461,0,7,8,47,48
"Walsh, Hammond and Craig",4,Jessica Smith,8,3,False,-0.115113,2.7076,-0.0102504,0.141967,9,15,39,34,41
"Walsh, Hammond and Craig",5,Jodie Smith,6,2,False,0.344743,0.0617989,0.202185,1.0249,13,19,26,45,48
"Walsh, Hammond and Craig",5,Christine Hayward,14,3,False,-0.0583505,-0.456142,-0.193807,0.363225,20,35,46,15,17
"Walsh, Hammond and Craig",5,Dale Wallace,1,5,False,-1.19165,-0.530803,-1.08133,-0.115491,8,15,33,42,44
"Walsh, Hammond and Craig",5,Catherine Booth,0,5,False,-0.525944,-0.517893,0.438586,-0.814669,11,39,54,13,20
"Walsh, Hammond and Craig",1,Diane Woodward,12,1,False,-1.0941,-1.05655,-1.09273,-0.501378,0,2,2,62,48
"Walsh, Hammond and Craig",1,Gerald Reynolds,9,1,False,0.508585,0.681752,1.50811,0.488677,7,13,23,39,50
"Walsh, Hammond and Craig",6,Rosemary Barrett,17,5,False,-0.62861,-0.723101,-0.83686,-0.837852,5,25,34,28,45
"Walsh, Hammond and Craig",6,Alexandra Taylor,0,2,False,-0.661696,-0.376327,0.447982,-1.86857,2,15,35,43,29
"Walsh, Hammond and Craig",6,Wendy Gough,12,6,False,0.660241,-0.712408,0.108921,0.37995,18,20,32,18,26
